Project Title,Total Project Cost,Actual Expenditure Up to end of FY2021,Actual FY2022,Estimated FY2023,Revised FY2023,Estimated FY2024
Development Expenditure,,,,,,
Government Development,,"48,770,019","70,333,900","65,484,600","49,710,500",
Judicature Programme,,,,,,
Minor Development Projects (ITD),,,"174,537","1,420,000","465,000","1,024,700"
Courts of the Future (COTF) - Tranche 1,"9,832,800","4,358,158","764,466","1,370,600","1,098,400","1,887,500"
A&A Works for Octagon Building,"166,920,000","10,637,066","29,576,699","55,240,000","55,240,000","38,235,500"
Court of the Future (COTF) - Tranche 2,"15,740,000","2,643,122","1,189,225","2,274,300","1,599,400","1,903,600"
Women's Charter and Omnibus Family Justice Bill,"3,847,500",0,0,0,"257,100","365,000"
Implementation of the Taskforce on Family Violence’s (FVTF’s) Recommendations and Related Family Violence Initiatives,"10,550,000",0,0,0,0,"908,000"
Minor Development Projects (Supreme Court),,,"10,051,803","9,517,400","6,424,700","5,126,200"
Minor Development Projects (State Courts),,,"34,862","511,100","100,000","260,000"
Completed Projects,,,"6,978,428",500,"300,000",0
