Project Title,Total Project Cost,Actual Expenditure Up to end of FY2021,Actual FY2022,Estimated FY2023,Revised FY2023,Estimated FY2024
Development Expenditure,,,,,,
Government Development,,,,,,
Corporate Services Programme,,,,,,
Setting up of Interim and Permanent SSO@QT at Dawson,"284,200",0,0,0,0,"10,000"
Conversion of Vacated Space at RCHD for ADH Expansion,"636,100",0,0,0,0,"30,000"
Setting up of Rental Housing and Social Service Hubs,"755,700",0,0,0,0,"391,000"
Inception and Minimum Viable Product (MVP) for the Modernisation of Social Service Net (SSNET),"2,187,200","187,200",0,0,"400,000","1,600,000"
Registries of Civil and Muslim Marriages (ROMM) Building Refurbishment Project,"19,634,200",0,0,0,0,"1,060,000"
Proposed Relocation of Social Service Office @ Punggol to One Punggol,"140,600",0,0,0,0,"372,800"
Further Development of Singapore Boys' Home,"27,625,300",0,0,0,0,"9,000,000"
Expansion of Care Corner Project START (CCPS) - Family Violence Specialist Centre (FVSC),"1,012,300",0,0,0,0,"895,000"
Setting up of 5 new full-fledged Family Service Centres (FSCs),"4,856,200",0,0,0,0,"1,203,300"
Premises for FAM@FSCs and FFLC agencies,"11,594,200",0,0,0,0,"4,130,000"
Discovery Phase of the Social Service Grant Management,"995,800",0,0,0,0,"268,700"
Social Service ICT (SSICT) Phase 3,"60,082,600",0,0,0,0,"25,557,800"
Improve infrastructure to enable differentiated treatment and programmes for Juvenile Homes,"5,685,100",0,0,0,"400,000","400,000"
Development of a new centre for Early Intervention Programme for Infants and Children (EIPIC),"780,600",0,0,0,0,"155,000"
Relocation of Social Service Office @ Boon Lay (SSO@BL),"364,700",0,0,0,0,"34,100"
Installation of additional Electro-Magnetic (EM) locks in 16 Homes,"930,200",0,0,0,0,"805,800"
Relocation of Spooner Road TS to Yio Chu Kang,"113,600",0,0,0,0,"34,100"
Co-location of the Pilot Small Group Care (PSGC) for older girls and Therapeutic Group Home (TGH) Service,"1,264,400",0,0,0,0,"900,000"
Relocation of FFLC to CPF Building at Bishan,"6,436,600",0,0,0,0,"600,000"
Relocation of SSO@Geylang Serai to 29 Paya Lebar Road,"5,550,100",0,0,0,0,"2,161,100"
Minor Development Projects,,,"5,518,249","5,414,600","6,524,000","2,037,700"
New Projects,,,,"8,400,000",,"25,111,700"
Family and Child Development Programme,,,,,,
Development of support system for the family support programmes in SSNET Phase 2,"6,919,500","5,461,963","327,594","250,000","355,000","200,000"
Development of a Pre-Divorce Support Portal,"1,347,300","276,104","468,675","143,600","539,100","63,000"
Redevelopment of the Families for Life (FFL) Portal to support the FFL Movement,"8,473,000","206,064","386,656","2,200,000","2,953,600","2,500,000"
Full-Scope Family Status Repository (FSR) and Folding in of Marital Status Register (MSR),"4,594,400","40,866","829,647","143,900","45,900","29,200"
Pre-Planning and Support Services for Families and Persons without Mental Capacity,"3,520,400",0,0,0,0,"2,180,500"
Social Support and Protection Programme,,,,,,
Combined A/AAA Paper for Development of NCPC 2.0,"63,000",0,0,0,0,"2,000"
Technology-enabled rehabilitation at the MSF Youth Homes,"2,032,900",0,0,0,0,"1,554,600"
Scale up of SupportGoWhere (SGW) portal,"6,300,500",0,0,0,0,"2,948,000"
Expansion of the GatherSG - Case Connect system,"4,757,700",0,0,0,0,"2,321,600"
Completed Projects,,,"33,297,858","39,782,900","40,352,100",0
Grants & Capital Injections to Organisations,,,,,,
Corporate Services Programme,,,,,,
Enabling Services Hub,"22,600",0,0,0,0,"27,200"
Installation of additional Electro-Magnetic (EM) locks in 16 Homes,"607,200",0,0,0,0,"600,000"
Relocation of Spooner Road TS to Yio Chu Kang,"368,200",0,0,0,0,"368,200"
Co-location of the Pilot Small Group Care (PSGC) Service for older girls and Therapeutic Group Home (TGH) Service,"360,900",0,0,0,0,"130,000"
Family and Child Development Programme,,,,,,
Development of Preschools by Anchor Operators,"13,563,899",0,0,0,0,"9,871,000"
Reimbursement to HDB for Pre-building Preschools,"140,276,895",0,0,0,0,"20,000,000"
Dev't by Non-AOP (Enhancement to Preschool Support Schemes),"1,842,767",0,0,0,0,"630,000"
Becky Bunny's Adventures Playground (BBAP) at Family Zone Gardens by the Bay (GB),"3,424,000",0,0,"2,739,200","380,500","1,507,500"
Development of New Early Intervention (EI) Centres,"2,071,400",0,0,0,0,"1,636,700"
Enabling Village Extension Capital Grant,"2,232,500",0,0,0,0,"745,500"
Completed Projects,,,,"43,073,819","44,793,800","52,317,700"
