Code,Object Class,Actual FY2022,Estimated FY2023,Revised FY2023,Estimated FY2024,Change Over FY2023 ($),Change Over FY2023 (%)
,TOTAL EXPENDITURE,"39,744,544","43,785,900","41,832,100","45,411,900","3,579,800",8.6%
,Main Estimates,,,,,,
,OPERATING EXPENDITURE,"39,631,302","43,018,900","41,097,100","44,547,900","3,450,800",8.4%
,RUNNING COSTS,"39,621,404","43,008,900","41,087,100","44,537,900","3,450,800",8.4%
1400,Expenditure on Manpower - Other Statutory Appointments,"1,098,929","1,046,600","1,011,400","1,066,500","55,100",5.4%
1500,Expenditure on Manpower - Permanent Staff,"30,745,468","32,678,300","31,090,700","33,483,700","2,393,000",7.7%
1600,"Expenditure on Manpower - Temporary, Daily-Rated & Other Staff","8,232","14,000","30,300","31,000",700,2.3%
2100,Other Operating Expenditure - Consumption of Products & Services,"6,774,675","8,031,600","7,856,700","8,573,900","717,200",9.1%
2300,Other Operating Expenditure - Manpower Development,"895,405","1,035,800","986,000","1,174,400","188,400",19.1%
2400,Other Operating Expenditure - International & Public Relations,"82,733","120,700","79,800","182,200","102,400",128.3%
2700,Other Operating Expenditure - Asset Acquisition,"15,961","81,900","32,200","26,200","-6,000",-18.6%
3800,Transfers - International Organisations & Overseas Development Assistance,"9,899","10,000","10,000","10,000",0,0.0%
5100,Development Expenditure - Government Development,"113,242","767,000","735,000","864,000","129,000",17.6%
